lambda_center,p_lambda_density
-11.9,0.0
-11.7,0.0
-11.5,0.0
-11.3,0.0
-11.1,0.0
-10.9,0.0
-10.7,0.0
-10.5,0.0
-10.3,0.0
-10.1,0.03
-9.9,0.05
-9.7,0.05
-9.5,0.05
-9.3,0.0525
-9.1,0.0525
-8.9,0.0525
-8.7,0.0525
-8.5,0.055
-8.3,0.055
-8.1,0.055
-7.8999999999999995,0.0575
-7.7,0.055
-7.5,0.0575
-7.3,0.06
-7.1,0.0575
-6.8999999999999995,0.06
-6.699999999999999,0.0625
-6.5,0.06
-6.3,0.0625
-6.1,0.065
-5.8999999999999995,0.065
-5.699999999999999,0.065
-5.5,0.0675
-5.3,0.0675
-5.1,0.07
-4.8999999999999995,0.07
-4.699999999999999,0.0725
-4.5,0.0725
-4.3,0.075
-4.1,0.0775
-3.9000000000000004,0.0775
-3.6999999999999993,0.08
-3.5,0.0825
-3.299999999999999,0.0825
-3.0999999999999996,0.085
-2.9000000000000004,0.0875
-2.6999999999999993,0.09
-2.5,0.09
-2.299999999999999,0.0925
-2.0999999999999996,0.095
-1.8999999999999986,0.0975
-1.6999999999999993,0.0975
-1.5,0.1
-1.299999999999999,0.1
-1.0999999999999996,0.1
-0.8999999999999986,0.1
-0.6999999999999993,0.1025
-0.5,0.0975
-0.29999999999999893,0.1
-0.09999999999999964,0.095
0.10000000000000142,0.095
0.3000000000000007,0.09
0.5,0.0875
0.7000000000000011,0.0825
0.9000000000000004,0.0775
1.1000000000000014,0.075
1.3000000000000007,0.0675
1.5,0.065
1.700000000000001,0.06
1.9000000000000004,0.055
2.1000000000000014,0.05
2.3000000000000007,0.0475
2.5,0.0425
2.700000000000001,0.04
2.9000000000000004,0.035
3.1000000000000014,0.0325
3.3000000000000007,0.03
3.5,0.0275
3.700000000000001,0.0225
3.9000000000000004,0.0225
4.100000000000001,0.02
4.300000000000001,0.0175
4.5,0.0175
4.699999999999999,0.015
4.900000000000002,0.0125
5.100000000000001,0.0125
5.300000000000001,0.0125
5.5,0.0075
5.699999999999999,0.01
5.900000000000002,0.0075
6.100000000000001,0.0075
6.300000000000001,0.0075
6.5,0.005
6.699999999999999,0.005
6.900000000000002,0.005
7.100000000000001,0.0025
7.300000000000001,0.005
7.5,0.0025
7.700000000000003,0.0025
7.900000000000002,0.0025
8.100000000000001,0.0025
8.3,0.0025
8.5,0.0
8.700000000000003,0.0025
8.900000000000002,0.0
9.100000000000001,0.0025
9.3,0.0
9.5,0.0
9.700000000000003,0.0
9.900000000000002,0.0
10.100000000000001,0.0
10.3,0.0
10.5,0.0
10.700000000000003,0.0
10.900000000000002,0.0
11.100000000000001,0.0
11.3,0.0
11.5,0.0
11.700000000000003,0.0
11.900000000000002,0.0
