t,lambda_t,R_t
0.00025,9.01339773403427,5.999634731100929
0.00075,8.61971246815089,5.999458536853708
0.00125,8.299634848308964,5.999254316264044
0.00175,8.053756694778167,5.9990465111249005
0.00225,7.838771719447921,5.998817890816036
0.00275,7.655178702188261,5.998579748805324
0.00325,7.488963430390676,5.998323036314821
0.00375,7.34054846321534,5.998054862384481
0.00425,7.203412857601241,5.997769118344299
0.00475,7.077923795206528,5.99747103184694
0.00525,6.9604114652013225,5.997155905093822
0.00575,6.851201781064257,5.996827967550112
0.00625,6.747964830068481,5.996483299255176
0.00675,6.65099465446095,5.996125549154587
0.00725,6.5586824087797595,5.9957512597177685
0.00775,6.471296727500579,5.995363724969595
0.00825,6.387655732582408,5.994959772799955
0.00875,6.308007262626182,5.99454247604048
0.00925,6.231441002569343,5.994108839948819
0.00975,6.158187398011847,5.9936618011010205
0.01025,6.087518749138015,5.993198471875166
0.01075,6.019650693543985,5.992721709502842
0.01125,5.953983945400024,5.992228685515649
0.01175,5.890721347696294,5.991722217593267
0.01225,5.829357288175373,5.991199502353238
0.01275,5.770083417379375,5.990663346729564
0.01325,5.71246458133059,5.990110947438169
0.01375,5.65668253674888,5.989545122128991
0.01425,5.6023565211360875,5.988963048791584
0.01475,5.549659466883006,5.98836757217193
0.01525,5.498253546397242,5.9877558370284625
0.01575,5.448303760799219,5.987130727963049
0.01625,5.3995068349410635,5.986489345111413
0.01675,5.352020593471654,5.985834623045691
0.01725,5.305570041118304,5.98516360818526
0.01775,5.260306470813116,5.984479293210518
0.01825,5.215978379733841,5.983778663463086
0.01875,5.172731085041783,5.983064776363924
0.01925,5.130332857877713,5.982334550145844
0.01975,5.0889235230133,5.981591112435445
0.02025,5.0482881918222375,5.980831309364446
0.02075,5.008561620112728,5.980058343311119
0.02125,4.969543412187955,5.979268984137141
0.02175,4.931363628283803,5.978466512784588
0.02225,4.893834463595074,5.977647619337542
0.02275,4.857081614040445,5.976815666520459
0.02325,4.820928306667843,5.975967261670142
0.02375,4.785496168557197,5.975105852026325
0.02425,4.750618167283166,5.9742279596512065
0.02475,4.716412125960516,5.973337118631003
0.02525,4.682719672834175,5.972429763593546
0.02575,4.649655065567391,5.971509517467243
0.02625,4.61706768210823,5.970572725594135
0.02675,4.585068430336005,5.969623101457748
0.02725,4.553513663188277,5.968656899523838
0.02775,4.522511134513412,5.967677925303619
0.02825,4.491923508479852,5.96668234101871
0.02875,4.461855563206711,5.965674045474633
0.02925,4.432175701472813,5.964649107472455
0.02975,4.4029858886021715,5.963611520200882
0.03025,4.374159768827092,5.962557258029785
0.03075,4.345796644016671,5.961490409465442
0.03125,4.317774965653113,5.960406853580432
0.03175,4.290191509415072,5.959310774997848
0.03225,4.262929152715199,5.958197956753679
0.03275,4.2360822715371595,5.957072680268135
0.03325,4.209537832620332,5.9559306319132626
0.03375,4.183387929110001,5.9547761904813585
0.03425,4.1575233185090354,5.953604945152551
0.03475,4.13203391932421,5.952421372572445
0.03525,4.106814013806133,5.951220964289954
0.03575,4.081951446223359,5.950008295201304
0.03625,4.057343785556483,5.948778758864461
0.03675,4.033076895187707,5.9475370287481235
0.03725,4.009051417016712,5.946278400131307
0.03775,3.985351320503599,5.945007645308826
0.03825,3.961880127685502,5.943719961057697
0.03875,3.938719995260517,5.9424202186905974
0.03925,3.9157771509730894,5.941103516318585
0.03975,3.8931320146321378,5.939774824407493
0.04025,3.87069336134243,5.938429142292461
0.04075,3.8485399450686826,5.937071539676094
0.04125,3.8265829440812658,5.935696917057155
0.04175,3.8048995131273844,5.934310443411159
0.04225,3.7834031019492835,5.932906920385626
0.04275,3.7621693286512525,5.931491616221298
0.04325,3.7411137938362518,5.930059233741725
0.04375,3.720310637816449,5.928615140404621
0.04425,3.699677501303445,5.927153940275924
0.04475,3.6792871022393943,5.925681099944378
0.04525,3.6590590194919352,5.9241911248210135
0.04575,3.6390646008925374,5.922689580504544
0.04625,3.6192252693906175,5.921170873887748
0.04675,3.599611052043687,5.919640669425393
0.04725,3.580145128883327,5.918093275660438
0.04775,3.560896252824645,5.916534455718996
0.04825,3.5417892803527513,5.914958419992492
0.04875,3.522891734363963,5.9133710300647016
0.04925,3.504130072921167,5.911766398401895
0.04975,3.485570630696875,5.910150484804525
0.05025,3.4671413976641547,5.908517304066629
0.05075,3.4489075599013894,5.906872913938517
0.05125,3.4307985743509457,5.9052112318200205
0.05175,3.4128785161104656,5.903538413120029
0.05225,3.395078248450635,5.901848278146035
0.05275,3.377460771221708,5.900147079650965
0.05325,3.3599582973022053,5.898428541174488
0.05375,3.3426327852730617,5.896699012476921
0.05425,3.3254177444824684,5.894952120676207
0.05475,3.308374124579281,5.8931943121822785
0.05525,3.291436681523302,5.891419118058093
0.05575,3.2746653868328526,5.889633080985246
0.05625,3.2579961962306805,5.887829636358148
0.05675,3.2414881324671683,5.886015422732794
0.05725,3.2250783069456186,5.884183780240403
0.05775,3.2088248216612794,5.882341442895553
0.05825,3.192665902163109,5.8804816559897795
0.05875,3.1766587564364843,5.878611248562626
0.05925,3.1607426849912637,5.8767233715068885
0.05975,3.1449740273567035,5.874824948436322
0.06025,3.1292931219905564,5.872909036302745
0.06075,3.113755464398538,5.870982652826844
0.06125,3.098302395983468,5.869038761493423
0.06175,3.0829885916040882,5.867084473646869
0.06225,3.06775636246901,5.865112659794611
0.06275,3.0526595851710088,5.863130524406097
0.06325,3.037641509315434,5.861130845516134
0.06375,3.0227552346706714,5.859120920205684
0.06425,3.007944919438541,5.857093434556362
0.06475,2.9932629071173835,5.855055777732645
0.06525,2.9786542362031696,5.85300054439657
0.06575,2.9641705136398926,5.850935215254146
0.06625,2.9497576313120084,5.848852294095228
0.06675,2.9354664785314735,5.846759352611751
0.06725,2.9212437749694753,5.84464880428219
0.06775,2.907139710477089,5.842528311215593
0.06825,2.8931018081293205,5.840390197152844
0.06875,2.879179575775786,5.838242214038454
0.06925,2.865321316653125,5.836076596462169
0.06975,2.8515758733940384,5.833901185609799
0.07025,2.8378923072234845,5.831708127518725
0.07075,2.8243188117013784,5.829505352009721
0.07125,2.81080518487036,5.827284917178575
0.07175,2.79739898675356,5.825054840862818
0.07225,2.784050731982278,5.82280709383913
0.07275,2.770807362000985,5.820549781332004
0.07325,2.7576200886858366,5.81827478743292
0.07375,2.744535249311271,5.815990304112246
0.07425,2.7315047344875456,5.8136881294213065
0.07475,2.718574291204841,5.811376541424223
0.07525,2.7056964710815037,5.8090472527881065
0.07575,2.692916444211412,5.806708627007931
0.07625,2.6801874062349382,5.80435229203317
0.07675,2.667553963263335,5.8019866961162085
0.07725,2.654969938671301,5.799603383165857
0.07775,2.642479387049016,5.797210885508182
0.07825,2.630036743877521,5.794800663698475
0.07875,2.617685524256223,5.792381333442666
0.07925,2.6053807607682713,5.789944272639626
0.07975,2.5931654406410094,5.787498179671473
0.08025,2.5809951791457206,5.785034350487495
0.08075,2.5689124468633535,5.782561565432665
0.08125,2.5568734278983705,5.780071039223064
0.08175,2.5449200870354614,5.777571633443741
0.08225,2.5330091638871766,5.775054482303272
0.08275,2.52118212793309,5.772528527894742
0.08325,2.509396261471368,5.769984824654083
0.08375,2.497692548824246,5.767432394441304
0.08425,2.4860288026301762,5.76486221266351
0.08475,2.4744455318732492,5.762283380197639
0.08525,2.4629010676401575,5.759686794174561
0.08575,2.4514354530814466,5.757081633729442
0.08625,2.44000752627094,5.754458718478121
0.08675,2.4286568737288894,5.751827305046749
0.08725,2.417342829465107,5.749178136305765
0.08775,2.4061045322840093,5.746520545596711
0.08825,2.3949018014705477,5.743845199822517
0.08875,2.383773336750866,5.741161508256315
0.08925,2.372679432396004,5.73846006261953
0.08975,2.361658357425792,5.7357503473250375
0.09025,2.350670871162725,5.733022879706706
0.09075,2.3397548200373897,5.730287218517431
0.09125,2.328871418827163,5.727533807505261
0.09175,2.3180580992457442,5.7247722789556565
0.09225,2.307276522251464,5.721993003840215
0.09275,2.29656371247845,5.719205687161933
0.09325,2.2858817681001904,5.716400627932821
0.09375,2.2752673140827078,5.713587603050953
0.09425,2.2646828771432768,5.710756840392944
0.09475,2.254164689774183,5.707918187922204
0.09525,2.243675698846616,5.705061803211355
0.09575,2.2332517513647145,5.702197604452261
0.09625,2.222856206233002,5.6993156797519875
0.09675,2.2125245317522038,5.696426016686985
0.09725,2.202220490997338,5.693518634744123
0.09775,2.1919791801571504,5.690603590033694
0.09825,2.1817647588611346,5.687670834274508
0.09875,2.171611957591386,5.684730491253243
0.09925,2.161485325152347,5.681772445779423
0.09975,2.1514192325455466,5.678806888452066
0.10025,2.141378610597541,5.675823638036688
0.10075,2.131397476882681,5.672832951074154
0.10125,2.1214411373142292,5.669824581157612
0.10175,2.111543261926299,5.666808849892966
0.10225,2.1016695249920665,5.663775446578878
0.10275,2.0918532547318662,5.660734757003292
0.10325,2.082060487252274,5.657676407054377
0.10375,2.072324214531519,5.654610845813054
0.10425,2.0626108281754103,5.6515276366469775
0.10475,2.052952989342412,5.648437291035049
0.10525,2.043317438988214,5.645329310720244
0.10575,2.033736512729728,5.642214268678648
0.10625,2.024177294900833,5.639081605930102
0.10675,2.014671800715951,5.635941956041413
0.10725,2.0051874520863118,5.632784700216441
0.10775,1.9957559488285312,5.629620531700689
0.10825,1.986345044794723,5.626438772794663
0.10875,1.97698612927856,5.623250175505111
0.10925,1.9676472825947817,5.6200440041471795
0.10975,1.9583595882635296,5.616831068566095
0.11025,1.949091447736243,5.613600576014854
0.11075,1.9398736433876802,5.610363393249232
0.11125,1.9306748926267838,5.607108671388394
0.11175,1.9215256811938206,5.603847333165662
0.11225,1.9123950374174374,5.600568474499683
0.11275,1.903313154800892,5.597283073163385
0.11325,1.8942493676910324,5.593980170813066
0.11375,1.885233581641868,5.590670799318508
0.11425,1.8762354322483845,5.587343947016584
0.11475,1.867284541296919,5.584010698926464
0.11525,1.858350840987329,5.5806599910131505
0.11575,1.8494636734170637,5.577302960493164
0.11625,1.840593262869948,5.573928491911689
0.11675,1.8317686757337985,5.570547773726097
0.11725,1.8229604239736243,5.56714964001821
0.11775,1.814197302150463,5.563745329525398
0.11825,1.8054501056217955,5.5603236268268414
0.11875,1.7967473609113442,5.556895819974845
0.11925,1.7880601425905414,5.5534506450108205
0.11975,1.7794167128447498,5.549999438332823
0.12025,1.7707884213873155,5.54653088841342
0.12075,1.762203269676475,5.543056379023235
0.12125,1.7536328785983828,5.539564552038837
0.12175,1.745104992410322,5.536066837626367
0.12225,1.7365914993016782,5.5325518320430405
