lambda,R_lambda
-12.0,0.014872467370269463
-11.98,0.015021937220028899
-11.96,0.015172909238360935
-11.94,0.015325398521446074
-11.92,0.015479420317157606
-11.9,0.015634990026585385
-11.88,0.015792123205574826
-11.86,0.015950835566281386
-11.84,0.01611114297874059
-11.82,0.01627306147245391
-11.8,0.016436607237990446
-11.78,0.016601796628604767
-11.76,0.016768646161870848
-11.74,0.016937172521332606
-11.72,0.017107392558170786
-11.7,0.017279323292886728
-11.68,0.017452981917002848
-11.66,0.0176283857947804
-11.64,0.017805552464954265
-11.62,0.017984499642485264
-11.6,0.01816524522032995
-11.58,0.018347807271228235
-11.56,0.01853220404950893
-11.54,0.018718453992913345
-11.52,0.018906575724437127
-11.5,0.019096588054190757
-11.48,0.019288509981278516
-11.46,0.01948236069569636
-11.44,0.019678159580248825
-11.42,0.019875926212485077
-11.4,0.020075680366654542
-11.38,0.020277442015681935
-11.36,0.020481231333162247
-11.34,0.02068706869537555
-11.32,0.02089497468332224
-11.3,0.02110497008477843
-11.28,0.021317075896372138
-11.26,0.021531313325680052
-11.24,0.021747703793345605
-11.22,0.021966268935218015
-11.2,0.022187030604512867
-11.18,0.022410010873994274
-11.16,0.022635232038179038
-11.14,0.022862716615562727
-11.12,0.023092487350868166
-11.1,0.02332456721731627
-11.08,0.023558979418919927
-11.06,0.023795747392800545
-11.04,0.024034894811527978
-11.02,0.02427644558548374
-11.0,0.024520423865248057
-10.98,0.02476685404401069
-10.96,0.025015760760005855
-10.94,0.025267168898971695
-10.92,0.02552110359663407
-10.9,0.025777590241215592
-10.879999999999999,0.026036654475969423
-10.86,0.02629832220173854
-10.84,0.026562619579540734
-10.82,0.026829573033179285
-10.8,0.02709920925187983
-10.78,0.02737155519295364
-10.76,0.027646638084487387
-10.74,0.027924485428060065
-10.72,0.028205125001486815
-10.7,0.028488584861590376
-10.68,0.028774893347000008
-10.66,0.029064079080978748
-10.64,0.0293561709742786
-10.62,0.029651198228024405
-10.6,0.02994919033662642
-10.58,0.030250177090722266
-10.56,0.0305541885801479
-10.54,0.03086125519693857
-10.52,0.031171407638359464
-10.5,0.03148467690996693
-10.48,0.03180109432870004
-10.46,0.0321206915260031
-10.44,0.03244350045097929
-10.42,0.03276955337357579
-10.4,0.03309888288780079
-10.379999999999999,0.03343152191497251
-10.36,0.03376750370700049
-10.34,0.03410686184969999
-10.32,0.03444963026613907
-10.3,0.03479584322001929
-10.28,0.03514553531908995
-10.26,0.03549874151859642
-10.24,0.03585549712476303
-10.22,0.036215837798310335
-10.2,0.036579799558007706
-10.18,0.036947418784261055
-10.16,0.03731873222273662
-10.14,0.037693776988020566
-10.12,0.038072590567315164
-10.1,0.03845521082417155
-10.08,0.03884167600226006
-10.06,0.03923202472917765
-10.04,0.039626296020293515
-10.02,0.040024529282632546
-10.0,0.04042676431879798
-9.98,0.04083304133093265
-9.96,0.04124340092471963
-9.94,0.04165788411342282
-9.92,0.04207653232196745
-9.9,0.042499387391061426
-9.879999999999999,0.042926491581357355
-9.86,0.04335788757765581
-9.84,0.04379361849315072
-9.82,0.04423372787371651
-9.8,0.04467825970223791
-9.78,0.04512725840298282
-9.76,0.04558076884601813
-9.74,0.04603883635167002
-9.719999999999999,0.0465015066950278
-9.7,0.04696882611049258
-9.68,0.04744084129637124
-9.66,0.04791759941951558
-9.64,0.04839914812000747
-9.620000000000001,0.04888553551589045
-9.6,0.0493768102079481
-9.58,0.049873021284529494
-9.56,0.050374218326422755
-9.54,0.0508804514117764
-9.52,0.05139177112106927
-9.5,0.05190822854213005
-9.48,0.05242987527520578
-9.46,0.052956763438080666
-9.44,0.05348894567124531
-9.42,0.05402647514311685
-9.4,0.05456940555531084
-9.379999999999999,0.05511779114796481
-9.36,0.0556716867051141
-9.34,0.05623114756012116
-9.32,0.056796229601157884
-9.3,0.05736698927674182
-9.28,0.05794348360132717
-9.26,0.05852577016095022
-9.24,0.059113907118930886
-9.219999999999999,0.059707953221629695
-9.2,0.06030796780426136
-9.18,0.06091401079676577
-9.16,0.06152614272973602
-9.14,0.06214442474040487
-9.120000000000001,0.06276891857868978
-9.1,0.0633996866132969
-9.08,0.0640367918378851
-9.06,0.06468029787729018
-9.04,0.06533026899380984
-9.02,0.06598677009354979
-9.0,0.06664986673283256
-8.98,0.06731962512466799
-8.96,0.06799611214528725
-8.94,0.06867939534074059
-8.92,0.06936954293355878
