lambda,x,density
4.0,-8.0,6.48916604471413e-07
4.0,-7.983983983983984,7.03234281165251e-07
4.0,-7.967967967967968,7.619031654292332e-07
4.0,-7.951951951951952,8.252549162965174e-07
4.0,-7.935935935935936,8.936450631225082e-07
4.0,-7.91991991991992,9.674546105288627e-07
4.0,-7.903903903903904,1.047091742556214e-06
4.0,-7.887887887887888,1.1329936315167308e-06
4.0,-7.871871871871872,1.2256283572963464e-06
4.0,-7.8558558558558556,1.3254969431242376e-06
4.0,-7.83983983983984,1.4331355141038386e-06
4.0,-7.823823823823824,1.549117585086125e-06
4.0,-7.807807807807808,1.674056484761127e-06
4.0,-7.791791791791792,1.8086079231487163e-06
4.0,-7.7757757757757755,1.95347270998417e-06
4.0,-7.75975975975976,2.1093996318174564e-06
4.0,-7.743743743743744,2.277188495978875e-06
4.0,-7.727727727727728,2.4576933499059527e-06
4.0,-7.711711711711712,2.6518258846786e-06
4.0,-7.6956956956956954,2.8605590319707988e-06
4.0,-7.67967967967968,3.084930763997079e-06
4.0,-7.663663663663664,3.326048106411591e-06
4.0,-7.647647647647648,3.58509137450521e-06
4.0,-7.631631631631632,3.863318643442582e-06
4.0,-7.615615615615615,4.162070463685919e-06
4.0,-7.5995995995996,4.482774833164154e-06
4.0,-7.583583583583583,4.8269524381669106e-06
4.0,-7.5675675675675675,5.196222175368836e-06
4.0,-7.551551551551552,5.592306967824408e-06
4.0,-7.535535535535535,6.017039888212245e-06
4.0,-7.51951951951952,6.472370603053532e-06
4.0,-7.503503503503503,6.960372152079389e-06
4.0,-7.4874874874874875,7.483248077375271e-06
4.0,-7.471471471471472,8.043339917389379e-06
4.0,-7.455455455455455,8.643135081350548e-06
4.0,-7.43943943943944,9.285275120103708e-06
4.0,-7.423423423423423,9.972564409833105e-06
4.0,-7.407407407407407,1.0707979265604485e-05
4.0,-7.391391391391391,1.1494677502118982e-05
4.0,-7.375375375375375,1.2336008459526946e-05
4.0,-7.35935935935936,1.3235523512605715e-05
4.0,-7.343343343343343,1.419698708205026e-05
4.0,-7.327327327327327,1.5224388167068724e-05
4.0,-7.311311311311311,1.6321952418906642e-05
4.0,-7.295295295295295,1.7494154775344002e-05
4.0,-7.2792792792792795,1.8745732676622793e-05
4.0,-7.263263263263263,2.0081699883655445e-05
4.0,-7.247247247247247,2.1507360919747545e-05
4.0,-7.231231231231231,2.302832615743094e-05
4.0,-7.215215215215215,2.4650527572344382e-05
4.0,-7.1991991991991995,2.63802351864229e-05
4.0,-7.183183183183183,2.8224074222949834e-05
4.0,-7.167167167167167,3.018904299629701e-05
4.0,-7.151151151151151,3.2282531559419535e-05
4.0,-7.135135135135135,3.451234113237487e-05
4.0,-7.119119119119119,3.6886704335315195e-05
4.0,-7.103103103103103,3.941430624953111e-05
4.0,-7.087087087087087,4.210430633022267e-05
4.0,-7.071071071071071,4.496636119472611e-05
4.0,-7.055055055055055,4.80106483099217e-05
4.0,-7.039039039039039,5.124789060251288e-05
4.0,-7.023023023023023,5.4689382015755405e-05
4.0,-7.007007007007007,5.834701403606843e-05
4.0,-6.990990990990991,6.223330321274038e-05
4.0,-6.974974974974975,6.63614196936567e-05
4.0,-6.958958958958959,7.074521679964031e-05
4.0,-6.942942942942943,7.53992616595649e-05
4.0,-6.926926926926927,8.033886692791356e-05
4.0,-6.910910910910911,8.55801236058873e-05
4.0,-6.894894894894895,9.113993498650004e-05
4.0,-6.878878878878879,9.703605174337256e-05
4.0,-6.862862862862863,0.00010328710818209085
4.0,-6.846846846846847,0.00010991265967207825
4.0,-6.8308308308308305,0.00011693322127590808
4.0,-6.814814814814815,0.00012437030759184523
4.0,-6.798798798798799,0.0001322464738241934
4.0,-6.782782782782783,0.00014058535809466336
4.0,-6.766766766766767,0.00014941172500653355
4.0,-6.7507507507507505,0.00015875151047180545
4.0,-6.734734734734735,0.00016863186780984434
4.0,-6.718718718718719,0.00017908121512420376
4.0,-6.702702702702703,0.00019012928396235947
4.0,-6.686686686686687,0.00020180716926101536
4.0,-6.67067067067067,0.00021414738057743494
4.0,-6.654654654654655,0.0002271838946048742
4.0,-6.638638638638639,0.00024095220896773912
4.0,-6.622622622622623,0.0002554893972894154
4.0,-6.606606606606607,0.00027083416552295853
4.0,-6.59059059059059,0.00028702690953190407
4.0,-6.574574574574575,0.0003041097739053484
4.0,-6.558558558558559,0.0003221267119882582
4.0,-6.5425425425425425,0.00034112354710453554
4.0,-6.526526526526526,0.0003611480349468479
4.0,-6.51051051051051,0.00038224992710353525
4.0,-6.494494494494495,0.00040448103568903337
4.0,-6.478478478478479,0.0004278952990402461
4.0,-6.4624624624624625,0.00045254884843714437
4.0,-6.446446446446446,0.00047850007580152166
4.0,-6.43043043043043,0.0005058097023233847
4.0,-6.414414414414415,0.0005345408479598083
4.0,-6.398398398398399,0.0005647591017462954
