schedule,seed,coverage_m,expected_s_norm,mean_mse,mean_bayes_mse,mean_excess_mse,transition_mse,transition_bayes_mse,transition_excess_mse,low_noise_mse,high_noise_mse,mean_mode_error,transition_mode_error
cosine_vp,20260526,0.587315,0.5744071309916022,0.5047153892170172,0.5004845099239901,0.004147182295673702,0.5506399820248286,0.5482571406496896,0.0021527727892842246,0.969322525221726,0.07137449180255785,0.1942962646484375,0.050713433159722224
uniform_lambda,20260526,0.223685,0.2593843222774145,0.5028461235458963,0.5004845099239901,0.002412532217476837,0.5526053739918603,0.5482571406496896,0.0038859663569989302,0.9707742908905292,0.06449511260584448,0.1924896240234375,0.050821940104166664
hang_laplace_lambda_b0.5,20260526,0.983615,0.886399941556519,0.544740282651037,0.5004845099239901,0.045275043054061825,0.554361512263616,0.5482571406496896,0.005681793714757077,1.0285983435038863,0.11428374029470212,0.2046112060546875,0.050984700520833336
dmsr_normal_wide_s1.5,20260526,0.8565,0.7747575051961345,0.5241336467210204,0.5004845099239901,0.024044317148945994,0.5515817503134409,0.5482571406496896,0.0033348242124904776,0.9829641333941755,0.10594728374571512,0.2004364013671875,0.050821940104166664
dmsr_normal_mid_s0.8,20260526,0.9924,0.9117658949764486,1.1347812745720147,0.5004845099239901,0.6352432087653141,0.5516651504569583,0.5482571406496896,0.0035491570241801026,1.006791505320319,1.5653204728256573,0.2030792236328125,0.051106770833333336
dmsr_normal_narrow_s0.3,20260526,1.0,0.9855050446007402,0.7550568375736475,0.5004845099239901,0.2553188700985629,0.6002081582943598,0.5482571406496896,0.051369681048931345,1.2017509074046695,0.4469704194502397,0.1914306640625,0.05044216579861111
dmsr_laplace_b0.5,20260526,0.98707,0.9349748395369856,0.524725233623758,0.5004845099239901,0.025033283822995144,0.55422343313694,0.5482571406496896,0.00540248820066659,1.0021295259738792,0.08909820121797649,0.199615478515625,0.05116102430555555
cosine_vp,20260527,0.58816,0.5737671827461116,0.5046183904865756,0.5017446581277909,0.0028001102109556086,0.5454955216911104,0.5428338216410743,0.002886804567727571,0.9757147821886786,0.06832797469740565,0.1907470703125,0.0489501953125
uniform_lambda,20260527,0.22369,0.25993218843567584,0.5028156516731542,0.5017446581277909,0.0011040026423870587,0.5454719182517793,0.5428338216410743,0.002840200665458623,0.9743793647864769,0.06514412201552962,0.193878173828125,0.048895941840277776
hang_laplace_lambda_b0.5,20260527,0.983275,0.8862498847265419,0.5528778294567018,0.5017446581277909,0.051083127730089474,0.5506780213779874,0.5428338216410743,0.007960594805707742,1.02192098724431,0.14188828308022383,0.2018890380859375,0.0491943359375
dmsr_normal_wide_s1.5,20260527,0.856935,0.7741888687878001,0.5572060375474394,0.5017446581277909,0.05509903905804094,0.5465357667869992,0.5428338216410743,0.003192011654997865,0.9817364770790626,0.18995398079807108,0.20196533203125,0.04918077256944445
dmsr_normal_mid_s0.8,20260527,0.992505,0.911548397744557,0.8738969324156642,0.5017446581277909,0.3720931949763326,0.5482598029904895,0.5428338216410743,0.005204046921183665,1.0086783890066475,0.9330728744918649,0.2010650634765625,0.04918077256944445
dmsr_normal_narrow_s0.3,20260527,1.0,0.9854683433946467,0.6649553447030485,0.5017446581277909,0.16316729550890158,0.6106816149420209,0.5428338216410743,0.06923712002268682,1.1512571182744256,0.26720309325239877,0.202374267578125,0.049126519097222224
dmsr_laplace_b0.5,20260527,0.986915,0.9346928441939636,0.6534930896945298,0.5017446581277909,0.15169589672514122,0.5456926342513826,0.5428338216410743,0.0035787346843992257,1.0269699384426247,0.3840864104303447,0.203485107421875,0.049004448784722224
cosine_vp,20260528,0.589815,0.5754948494371742,0.5006181683085742,0.4979749468260707,0.0028624387250602013,0.545859490831693,0.5413550701406267,0.004827799055621856,0.9659881900096762,0.0669795490737835,0.1961822509765625,0.04979112413194445
uniform_lambda,20260528,0.222495,0.25927249587045137,0.49977042160462587,0.4979749468260707,0.0021263264025037643,0.5445062418778738,0.5413550701406267,0.004175653112017446,0.9647672320234364,0.06673550442086928,0.198724365234375,0.05002170138888889
hang_laplace_lambda_b0.5,20260528,0.98357,0.8864971145810914,0.6752600939013064,0.4979749468260707,0.1770124896313064,0.5446678234471215,0.5413550701406267,0.0038896313312256504,1.0186720449348976,0.44470598142255435,0.19803466796875,0.050116644965277776
dmsr_normal_wide_s1.5,20260528,0.855665,0.7734843450024741,0.5146998146665283,0.4979749468260707,0.016606716764727025,0.5439400772253672,0.5413550701406267,0.0031202740307586887,0.9900089502334595,0.08105467353016138,0.2051422119140625,0.049763997395833336
dmsr_normal_mid_s0.8,20260528,0.99208,0.911133999316261,0.5437167707830668,0.4979749468260707,0.04526986400087481,0.5432539168331358,0.5413550701406267,0.0023162247153878626,1.0044099462443385,0.13911765813827515,0.1965057373046875,0.049845377604166664
dmsr_normal_narrow_s0.3,20260528,1.0,0.9853892112583017,0.6068833420285955,0.4979749468260707,0.10709178295364837,0.5838018457094828,0.5413550701406267,0.04297178543250387,1.1646750219937028,0.12929268186968385,0.194024658203125,0.049994574652777776
dmsr_laplace_b0.5,20260528,0.98646,0.9349406934781518,0.8425549796782434,0.4979749468260707,0.34416144814604194,0.5443593992127312,0.5413550701406267,0.0032555475869836905,1.002667472280305,0.864502196736408,0.200921630859375,0.049981011284722224
