schedule,n_seeds,balance_error_mean,balance_error_std,balance_error_sem,balance_error_n,classifier_confidence_mean,classifier_confidence_std,classifier_confidence_sem,classifier_confidence_n,coverage_m_mean,coverage_m_std,coverage_m_sem,coverage_m_n,coverage_phi_mean,coverage_phi_std,coverage_phi_sem,coverage_phi_n,density_phi_mean,density_phi_std,density_phi_sem,density_phi_n,expected_s_mean,expected_s_std,expected_s_sem,expected_s_n,expected_s_norm_mean,expected_s_norm_std,expected_s_norm_sem,expected_s_norm_n,fid_phi_mean,fid_phi_std,fid_phi_sem,fid_phi_n,frac_class_0_mean,frac_class_0_std,frac_class_0_sem,frac_class_0_n,high_noise_mse_mean,high_noise_mse_std,high_noise_mse_sem,high_noise_mse_n,kid_phi_mean,kid_phi_std,kid_phi_sem,kid_phi_n,kid_phi_std_mean,kid_phi_std_std,kid_phi_std_sem,kid_phi_std_n,low_noise_mse_mean,low_noise_mse_std,low_noise_mse_sem,low_noise_mse_n,mean_mse_mean,mean_mse_std,mean_mse_sem,mean_mse_n,mean_skill_mean,mean_skill_std,mean_skill_sem,mean_skill_n,precision_phi_mean,precision_phi_std,precision_phi_sem,precision_phi_n,recall_phi_mean,recall_phi_std,recall_phi_sem,recall_phi_n,transition_mse_mean,transition_mse_std,transition_mse_sem,transition_mse_n,transition_skill_mean,transition_skill_std,transition_skill_sem,transition_skill_n
cosine_vp,1,0.23000001907348633,nan,nan,1,0.8805370926856995,nan,nan,1,0.47788,nan,nan,1,0.13,nan,nan,1,0.49000000000000005,nan,nan,1,0.8703628502057873,nan,nan,1,0.6036457874380972,nan,nan,1,142.70871524631715,nan,nan,1,0.7300000190734863,nan,nan,1,0.005364507669582963,nan,nan,1,305.35268716708106,nan,nan,1,3.3377412255127025e-05,nan,nan,1,0.32264584004879,nan,nan,1,0.14516231797945997,nan,nan,1,0.85483768202054,nan,nan,1,1.0,nan,nan,1,0.26,nan,nan,1,0.03575352827707926,nan,nan,1,0.9642464717229208,nan,nan,1
linear_vp,1,0.20999997854232788,nan,nan,1,0.8963898420333862,nan,nan,1,0.34622,nan,nan,1,0.13,nan,nan,1,0.506,nan,nan,1,0.6694917712999925,nan,nan,1,0.4643303506970192,nan,nan,1,132.5146177782592,nan,nan,1,0.7099999785423279,nan,nan,1,0.003085711505264044,nan,nan,1,291.82337039634626,nan,nan,1,2.4440428607893934e-05,nan,nan,1,0.3811326533555984,nan,nan,1,0.16862562842046222,nan,nan,1,0.8313743715795378,nan,nan,1,0.98,nan,nan,1,0.41,nan,nan,1,0.0351671427488327,nan,nan,1,0.9648328572511673,nan,nan,1
uniform,1,0.019999980926513672,nan,nan,1,0.8391484022140503,nan,nan,1,0.181705,nan,nan,1,0.09,nan,nan,1,0.37200000000000005,nan,nan,1,0.42591353462814463,nan,nan,1,0.2953950883018055,nan,nan,1,153.68790183302957,nan,nan,1,0.5199999809265137,nan,nan,1,0.004638118436560035,nan,nan,1,385.7207012480765,nan,nan,1,4.281039609157203e-05,nan,nan,1,0.22523679286241532,nan,nan,1,0.10666198027320206,nan,nan,1,0.8933380197267979,nan,nan,1,0.99,nan,nan,1,0.3,nan,nan,1,0.045069108406702675,nan,nan,1,0.9549308915932974,nan,nan,1
hang_laplace_b0.5,1,0.19999998807907104,nan,nan,1,0.8468997478485107,nan,nan,1,0.91598,nan,nan,1,0.12,nan,nan,1,0.48600000000000004,nan,nan,1,1.2589589736426312,nan,nan,1,0.8731591437032034,nan,nan,1,142.34108691501945,nan,nan,1,0.699999988079071,nan,nan,1,0.06831281771883368,nan,nan,1,311.5773187263258,nan,nan,1,2.8874787831933844e-05,nan,nan,1,0.6831415742635727,nan,nan,1,0.3153278746952613,nan,nan,1,0.6846721253047388,nan,nan,1,0.99,nan,nan,1,0.13,nan,nan,1,0.031658451383312546,nan,nan,1,0.9683415486166874,nan,nan,1
dmsr_normal_s0.3,1,0.24000000953674316,nan,nan,1,0.8841539621353149,nan,nan,1,1.0,nan,nan,1,0.12,nan,nan,1,0.5519999999999999,nan,nan,1,1.3856157665228002,nan,nan,1,0.9610027820828245,nan,nan,1,138.91498981244928,nan,nan,1,0.7400000095367432,nan,nan,1,0.10320934932678938,nan,nan,1,291.21911300332425,nan,nan,1,4.8647007378972674e-05,nan,nan,1,0.9370273888111115,nan,nan,1,0.43576248952498037,nan,nan,1,0.5642375104750197,nan,nan,1,1.0,nan,nan,1,0.16,nan,nan,1,0.04372517764568329,nan,nan,1,0.9562748223543167,nan,nan,1
dmsr_normal_s0.8,1,0.25,nan,nan,1,0.890073299407959,nan,nan,1,0.97712,nan,nan,1,0.13,nan,nan,1,0.554,nan,nan,1,1.291215244207524,nan,nan,1,0.8955306889045608,nan,nan,1,132.13796366026435,nan,nan,1,0.75,nan,nan,1,0.0681844325736165,nan,nan,1,282.9310828872219,nan,nan,1,4.53851298462435e-05,nan,nan,1,0.8474716126918793,nan,nan,1,0.38432701809021336,nan,nan,1,0.6156729819097866,nan,nan,1,1.0,nan,nan,1,0.6,nan,nan,1,0.03394280777623256,nan,nan,1,0.9660571922237674,nan,nan,1
dmsr_normal_s1.5,1,0.1899999976158142,nan,nan,1,0.9204210638999939,nan,nan,1,0.77273,nan,nan,1,0.14,nan,nan,1,0.6080000000000001,nan,nan,1,1.1443635717301892,nan,nan,1,0.7936807610862688,nan,nan,1,102.06370660198041,nan,nan,1,0.6899999976158142,nan,nan,1,0.025736110168509185,nan,nan,1,239.2886528068774,nan,nan,1,3.2267469412067045e-05,nan,nan,1,0.6543342873454094,nan,nan,1,0.2891991132637486,nan,nan,1,0.7108008867362514,nan,nan,1,0.98,nan,nan,1,0.78,nan,nan,1,0.03192449392129978,nan,nan,1,0.9680755060787002,nan,nan,1
dmsr_normal_s2.5,1,0.25,nan,nan,1,0.9094489812850952,nan,nan,1,0.53246,nan,nan,1,0.16,nan,nan,1,0.5700000000000001,nan,nan,1,0.934897856397834,nan,nan,1,0.648404458630129,nan,nan,1,121.40742978427943,nan,nan,1,0.75,nan,nan,1,0.005637044552713633,nan,nan,1,249.78249428045103,nan,nan,1,3.782808836191963e-05,nan,nan,1,0.44675607681274415,nan,nan,1,0.19628057978115976,nan,nan,1,0.8037194202188402,nan,nan,1,0.99,nan,nan,1,0.68,nan,nan,1,0.03301279836644729,nan,nan,1,0.9669872016335527,nan,nan,1
dmsr_normal_s4.0,1,0.12999999523162842,nan,nan,1,0.8723206520080566,nan,nan,1,0.35029,nan,nan,1,0.13,nan,nan,1,0.484,nan,nan,1,0.7034994119613743,nan,nan,1,0.48791656996303906,nan,nan,1,125.64346822306553,nan,nan,1,0.6299999952316284,nan,nan,1,0.004142377525568008,nan,nan,1,315.64727659727146,nan,nan,1,3.7102598147483155e-05,nan,nan,1,0.28179831653833387,nan,nan,1,0.12813685663665333,nan,nan,1,0.8718631433633467,nan,nan,1,1.0,nan,nan,1,0.67,nan,nan,1,0.037360395615299545,nan,nan,1,0.9626396043847004,nan,nan,1
dmsr_normal_s6.0,1,0.050000011920928955,nan,nan,1,0.863467812538147,nan,nan,1,0.237845,nan,nan,1,0.11,nan,nan,1,0.43200000000000005,nan,nan,1,0.5171594224468514,nan,nan,1,0.35867926430930447,nan,nan,1,134.12034900213894,nan,nan,1,0.550000011920929,nan,nan,1,0.004315833910368383,nan,nan,1,352.88213616363834,nan,nan,1,2.8138554776881346e-05,nan,nan,1,0.23373184949159623,nan,nan,1,0.10938087846928586,nan,nan,1,0.8906191215307141,nan,nan,1,0.99,nan,nan,1,0.63,nan,nan,1,0.04221598617732525,nan,nan,1,0.9577840138226748,nan,nan,1
