schedule,n_seeds,balance_error_mean,balance_error_std,balance_error_sem,balance_error_n,classifier_confidence_mean,classifier_confidence_std,classifier_confidence_sem,classifier_confidence_n,coverage_m_mean,coverage_m_std,coverage_m_sem,coverage_m_n,coverage_phi_mean,coverage_phi_std,coverage_phi_sem,coverage_phi_n,density_phi_mean,density_phi_std,density_phi_sem,density_phi_n,expected_s_mean,expected_s_std,expected_s_sem,expected_s_n,expected_s_norm_mean,expected_s_norm_std,expected_s_norm_sem,expected_s_norm_n,fid_phi_mean,fid_phi_std,fid_phi_sem,fid_phi_n,frac_class_0_mean,frac_class_0_std,frac_class_0_sem,frac_class_0_n,high_noise_mse_mean,high_noise_mse_std,high_noise_mse_sem,high_noise_mse_n,kid_phi_mean,kid_phi_std,kid_phi_sem,kid_phi_n,kid_phi_std_mean,kid_phi_std_std,kid_phi_std_sem,kid_phi_std_n,low_noise_mse_mean,low_noise_mse_std,low_noise_mse_sem,low_noise_mse_n,mean_mse_mean,mean_mse_std,mean_mse_sem,mean_mse_n,mean_skill_mean,mean_skill_std,mean_skill_sem,mean_skill_n,precision_phi_mean,precision_phi_std,precision_phi_sem,precision_phi_n,recall_phi_mean,recall_phi_std,recall_phi_sem,recall_phi_n,transition_mse_mean,transition_mse_std,transition_mse_sem,transition_mse_n,transition_skill_mean,transition_skill_std,transition_skill_sem,transition_skill_n
cosine_vp,1,0.20440000295639038,nan,nan,1,0.969855546951294,nan,nan,1,0.49722,nan,nan,1,0.483,nan,nan,1,0.5785,nan,nan,1,0.9964867435217087,nan,nan,1,0.5175679396099899,nan,nan,1,53.346753971279306,nan,nan,1,0.7044000029563904,nan,nan,1,0.0021452981357773146,nan,nan,1,53.65714421756629,nan,nan,1,20.934206733118735,nan,nan,1,0.1167001947760582,nan,nan,1,0.05476003286894411,nan,nan,1,0.9452399671310558,nan,nan,1,0.8445,nan,nan,1,0.983,nan,nan,1,0.02178981644101441,nan,nan,1,0.9782101835589856,nan,nan,1
linear_vp,1,0.08639997243881226,nan,nan,1,0.9689167737960815,nan,nan,1,0.334355,nan,nan,1,0.553,nan,nan,1,0.6044,nan,nan,1,0.7421827809056974,nan,nan,1,0.3854843180048848,nan,nan,1,27.118833861076368,nan,nan,1,0.5863999724388123,nan,nan,1,0.0019491584646554353,nan,nan,1,97.2582593565045,nan,nan,1,47.37096965954581,nan,nan,1,0.11748052717131727,nan,nan,1,0.05510350078056945,nan,nan,1,0.9448964992194305,nan,nan,1,0.856,nan,nan,1,0.9615,nan,nan,1,0.0222167115425691,nan,nan,1,0.9777832884574309,nan,nan,1
uniform,1,0.171999990940094,nan,nan,1,0.9599144458770752,nan,nan,1,0.179785,nan,nan,1,0.354,nan,nan,1,0.5209,nan,nan,1,0.45325736770454417,nan,nan,1,0.23541856772405512,nan,nan,1,50.170622850480754,nan,nan,1,0.671999990940094,nan,nan,1,0.0021606581043063975,nan,nan,1,103.38647259213225,nan,nan,1,40.611177176206134,nan,nan,1,0.10084876374286764,nan,nan,1,0.048353159488397066,nan,nan,1,0.951646840511603,nan,nan,1,0.8125,nan,nan,1,0.9635,nan,nan,1,0.023410940542817116,nan,nan,1,0.9765890594571829,nan,nan,1
hang_laplace_b0.5,1,0.18159997463226318,nan,nan,1,0.9325686693191528,nan,nan,1,0.95692,nan,nan,1,0.108,nan,nan,1,0.2627,nan,nan,1,1.656861113141624,nan,nan,1,0.8605615660455026,nan,nan,1,110.03133724819652,nan,nan,1,0.6815999746322632,nan,nan,1,0.009832760086283088,nan,nan,1,232.85993127614032,nan,nan,1,45.76108588766209,nan,nan,1,0.41996606395525093,nan,nan,1,0.18636378392693587,nan,nan,1,0.8136362160730641,nan,nan,1,0.6095,nan,nan,1,0.889,nan,nan,1,0.020954608567990363,nan,nan,1,0.9790453914320096,nan,nan,1
dmsr_normal_s0.3,1,0.4992000000202097,nan,nan,1,0.9985591769218445,nan,nan,1,1.0,nan,nan,1,0.0,nan,nan,1,0.0,nan,nan,1,1.826857746748135,nan,nan,1,0.9488565764591956,nan,nan,1,483.98020510014317,nan,nan,1,0.0007999999797903001,nan,nan,1,0.07621857201059659,nan,nan,1,2209.0854803281845,nan,nan,1,181.9362137771217,nan,nan,1,0.7222739712280386,nan,nan,1,0.34001648223493247,nan,nan,1,0.6599835177650675,nan,nan,1,0.0,nan,nan,1,0.0,nan,nan,1,0.02234039979521185,nan,nan,1,0.9776596002047881,nan,nan,1
dmsr_normal_s0.8,1,0.02039998769760132,nan,nan,1,0.9084195494651794,nan,nan,1,0.96839,nan,nan,1,0.0155,nan,nan,1,0.0864,nan,nan,1,1.613739718915768,nan,nan,1,0.8381646286976852,nan,nan,1,148.1004582198992,nan,nan,1,0.5203999876976013,nan,nan,1,0.022089000698179005,nan,nan,1,431.80259318009195,nan,nan,1,61.181997670110725,nan,nan,1,0.5719398849588984,nan,nan,1,0.2555160429212265,nan,nan,1,0.7444839570787736,nan,nan,1,0.2735,nan,nan,1,0.2455,nan,nan,1,0.02079108275938779,nan,nan,1,0.9792089172406122,nan,nan,1
dmsr_normal_s1.5,1,0.31040000915527344,nan,nan,1,0.9709633588790894,nan,nan,1,0.76172,nan,nan,1,0.3855,nan,nan,1,0.5111,nan,nan,1,1.3518004223253386,nan,nan,1,0.7021152703689708,nan,nan,1,108.51969818441711,nan,nan,1,0.8104000091552734,nan,nan,1,0.006723399545686941,nan,nan,1,73.12759647623699,nan,nan,1,26.86017103517414,nan,nan,1,0.35003262561033754,nan,nan,1,0.1554532040929189,nan,nan,1,0.8445467959070811,nan,nan,1,0.817,nan,nan,1,0.9825,nan,nan,1,0.020840316894464195,nan,nan,1,0.9791596831055358,nan,nan,1
dmsr_normal_s2.5,1,0.21539998054504395,nan,nan,1,0.9739546775817871,nan,nan,1,0.52462,nan,nan,1,0.5195,nan,nan,1,0.5853,nan,nan,1,1.0588364752571318,nan,nan,1,0.5499519350814114,nan,nan,1,55.22662300308584,nan,nan,1,0.715399980545044,nan,nan,1,0.0020778054953552783,nan,nan,1,46.363737034653184,nan,nan,1,18.886735656497393,nan,nan,1,0.12946319207549095,nan,nan,1,0.060107376192172525,nan,nan,1,0.9398926238078275,nan,nan,1,0.8475,nan,nan,1,0.98,nan,nan,1,0.0215317124966532,nan,nan,1,0.9784682875033468,nan,nan,1
dmsr_normal_s4.0,1,0.2850000262260437,nan,nan,1,0.9744415283203125,nan,nan,1,0.344175,nan,nan,1,0.4305,nan,nan,1,0.5515,nan,nan,1,0.7715145109546343,nan,nan,1,0.4007190044523658,nan,nan,1,93.2790542904766,nan,nan,1,0.7850000262260437,nan,nan,1,0.0020926682278513908,nan,nan,1,62.74885069937656,nan,nan,1,24.603309231655487,nan,nan,1,0.10409125532297527,nan,nan,1,0.049518983950838445,nan,nan,1,0.9504810160491616,nan,nan,1,0.8475,nan,nan,1,0.974,nan,nan,1,0.022477249265648425,nan,nan,1,0.9775227507343516,nan,nan,1
dmsr_normal_s6.0,1,0.14859998226165771,nan,nan,1,0.9589637517929077,nan,nan,1,0.23427,nan,nan,1,0.3475,nan,nan,1,0.5246000000000001,nan,nan,1,0.5568166220098195,nan,nan,1,0.28920648836302215,nan,nan,1,44.41489228311295,nan,nan,1,0.6485999822616577,nan,nan,1,0.0020782048328934857,nan,nan,1,118.20681203465315,nan,nan,1,47.30279343053849,nan,nan,1,0.10076887598809074,nan,nan,1,0.04824566514507751,nan,nan,1,0.9517543348549224,nan,nan,1,0.8095,nan,nan,1,0.9665,nan,nan,1,0.02319783018901944,nan,nan,1,0.9768021698109806,nan,nan,1
