schedule,seed,coverage_m,expected_s_norm,fid_phi,kid_phi,kid_phi_std,precision_phi,recall_phi,density_phi,coverage_phi,classifier_confidence,balance_error,mean_mse,transition_mse,low_noise_mse,high_noise_mse
cosine_vp,20260526,0.49633,0.5169862777634063,128.0480984771582,74.06173012054134,29.86559349138992,0.847,0.9735,0.6258,0.416,0.9718499779701233,0.33660000562667847,0.05247957586543635,0.021620249492116272,0.11179712370914571,0.001711329041669766
linear_vp,20260526,0.332855,0.38506286949851454,98.82231375893198,63.11566514362373,30.44779010649567,0.8665,0.9675,0.6384000000000001,0.4645,0.9691896438598633,0.2911999821662903,0.05359121011406387,0.02164810977410525,0.11452264930395518,0.001571899213498303
uniform,20260526,0.178045,0.23474592382614465,68.26202773978362,78.59852846802991,24.430267707778363,0.8065,0.9305,0.5319,0.333,0.9552849531173706,0.21160000562667847,0.048575048964085,0.02319654100574553,0.1017931338180514,0.0017964237073708016
dmsr_normal_s0.5,20260526,0.998905,0.9045908432812115,242.66092018302166,849.8889889557192,122.3916923203561,0.0795,0.0025,0.0242,0.0035,0.9478020668029785,0.38920000195503235,0.3164227773435414,0.021380025194957852,0.6837050548809416,0.057525663947065674
dmsr_normal_s1.5,20260526,0.760745,0.7015396543295784,223.87122908590914,145.5184591126105,55.32650129150603,0.8305,0.9815,0.5479,0.391,0.981202244758606,0.4368000030517578,0.15386948687955737,0.021036638761870563,0.34673529797617125,0.006132419966161251
dmsr_normal_s4.0,20260526,0.346145,0.4012485640855379,154.10530369508243,87.85665861545141,34.99438480756721,0.842,0.9505,0.6231,0.375,0.9707332253456116,0.3691999912261963,0.050639508957465294,0.022286283201538026,0.1071360220803934,0.0017318478213079894
dmsr_laplace_b0.5,20260526,0.96865,0.8770676417671223,98.5281982233136,138.31164116482202,34.36843187945066,0.788,0.948,0.49160000000000004,0.2275,0.9496897459030151,0.2616000175476074,0.2014018737128936,0.020673061604611576,0.45581386063028784,0.009456988330930472
dmsr_laplace_b1.5,20260526,0.692455,0.6608053926614422,51.451316901362624,40.503993401298146,31.37799508738639,0.8675,0.969,0.6632,0.5395,0.9732499122619629,0.18140000104904175,0.06060198753111763,0.021053866716101766,0.13110501691699028,0.001790885328470419
dmsr_laplace_b4.0,20260526,0.36098,0.39469894781566695,102.88848101908563,67.64161404474432,21.08277793654701,0.843,0.972,0.5984,0.3865,0.9616546630859375,0.28700000047683716,0.04964569841213233,0.022114725783467293,0.1047706555794267,0.0018539323578200613
at0_normal_s0.5,20260526,0.994875,0.8897961139251381,277.51508133948516,1048.4192687958691,129.18023564141916,0.0205,0.031,0.006200000000000001,0.002,0.9594140648841858,0.42719999700784683,0.302510280138813,0.02151532133575529,0.6554657727041665,0.052358033259709676
at0_normal_s1.5,20260526,0.740905,0.6911395266962741,261.276260405897,194.48433534613716,67.97038917229222,0.788,0.978,0.46399999999999997,0.343,0.985438883304596,0.4585999846458435,0.1449863795249257,0.021136718220077455,0.32384345483253985,0.00833484687221547
at0_normal_s4.0,20260526,0.3442,0.39874262721206033,96.61191872175203,64.42261155524977,18.7212629696087,0.849,0.936,0.6219000000000001,0.367,0.9638203978538513,0.2734000086784363,0.05049401409596612,0.022592708352021873,0.10663033123402034,0.0017535510696082687
at0_laplace_b0.5,20260526,0.956885,0.8607474415175312,90.88505494441534,189.49443210671166,50.6358093032262,0.761,0.765,0.4225,0.1575,0.9387786984443665,0.19840002059936523,0.1918106499593705,0.020846515195444226,0.4312337308245547,0.011645363519589107
at0_laplace_b1.5,20260526,0.679235,0.6512324806117322,54.726434623628,42.53972613759668,22.73069387919546,0.8695,0.964,0.6434000000000001,0.4445,0.9662871360778809,0.17720001935958862,0.05887092037446564,0.021090227994136512,0.12695776057593963,0.0018555374156373242
at0_laplace_b4.0,20260526,0.35733,0.3912197779362156,99.57141339952092,71.49400052601207,18.953109248315194,0.833,0.9565,0.5544,0.3555,0.961417555809021,0.2784000039100647,0.04989190570267965,0.02215487277135253,0.10532969433595152,0.001855496148345992
