schedule,n_seeds,balance_error_mean,balance_error_std,balance_error_sem,balance_error_n,classifier_confidence_mean,classifier_confidence_std,classifier_confidence_sem,classifier_confidence_n,coverage_m_mean,coverage_m_std,coverage_m_sem,coverage_m_n,coverage_phi_mean,coverage_phi_std,coverage_phi_sem,coverage_phi_n,density_phi_mean,density_phi_std,density_phi_sem,density_phi_n,expected_s_mean,expected_s_std,expected_s_sem,expected_s_n,fid_inception_mean,fid_inception_std,fid_inception_sem,fid_inception_n,fid_phi_mean,fid_phi_std,fid_phi_sem,fid_phi_n,kid_phi_mean,kid_phi_std,kid_phi_sem,kid_phi_n,kid_phi_std_mean,kid_phi_std_std,kid_phi_std_sem,kid_phi_std_n,lambda_r_star_mean,lambda_r_star_std,lambda_r_star_sem,lambda_r_star_n,mean_mse_mean,mean_mse_std,mean_mse_sem,mean_mse_n,mean_skill_mean,mean_skill_std,mean_skill_sem,mean_skill_n,precision_phi_mean,precision_phi_std,precision_phi_sem,precision_phi_n,recall_phi_mean,recall_phi_std,recall_phi_sem,recall_phi_n,transition_high_mean,transition_high_std,transition_high_sem,transition_high_n,transition_low_mean,transition_low_std,transition_low_sem,transition_low_n,transition_mse_mean,transition_mse_std,transition_mse_sem,transition_mse_n,transition_skill_mean,transition_skill_std,transition_skill_sem,transition_skill_n
cosine_vp,1,0.13010001182556152,nan,nan,1,0.8503376841545105,nan,nan,1,0.231525,nan,nan,1,0.8415,nan,nan,1,1.1317000000000002,nan,nan,1,0.131096006366814,nan,nan,1,71.12065124511719,nan,nan,1,11.896452856513168,nan,nan,1,0.8865278031243221,nan,nan,1,0.49894039342878965,nan,nan,1,3.979591836734695,nan,nan,1,0.24875352833423675,nan,nan,1,0.7512464716657632,nan,nan,1,0.9765,nan,nan,1,0.854,nan,nan,1,5.204081632653061,nan,nan,1,1.5306122448979593,nan,nan,1,0.1934608116745949,nan,nan,1,0.8065391883254052,nan,nan,1
linear_vp,1,0.11890000104904175,nan,nan,1,0.85922771692276,nan,nan,1,0.116075,nan,nan,1,0.8735,nan,nan,1,1.1465,nan,nan,1,0.07437034040927397,nan,nan,1,65.71036529541016,nan,nan,1,9.4655973275635,nan,nan,1,0.7740585544162323,nan,nan,1,0.7152589692650252,nan,nan,1,3.979591836734695,nan,nan,1,0.24812718401517486,nan,nan,1,0.7518728159848251,nan,nan,1,0.9765,nan,nan,1,0.8595,nan,nan,1,5.204081632653061,nan,nan,1,1.5306122448979593,nan,nan,1,0.16488325446844102,nan,nan,1,0.835116745531559,nan,nan,1
uniform,1,0.02640002965927124,nan,nan,1,0.8463209271430969,nan,nan,1,0.124185,nan,nan,1,0.914,nan,nan,1,1.0090000000000001,nan,nan,1,0.07595669217352156,nan,nan,1,52.74051284790039,nan,nan,1,6.731542987524437,nan,nan,1,0.4669186087791366,nan,nan,1,0.45094468919317027,nan,nan,1,3.979591836734695,nan,nan,1,0.236058017974392,nan,nan,1,0.763941982025608,nan,nan,1,0.9595,nan,nan,1,0.9295,nan,nan,1,5.204081632653061,nan,nan,1,1.5306122448979593,nan,nan,1,0.13676670789718628,nan,nan,1,0.8632332921028137,nan,nan,1
dmsr_normal_s0.5,1,0.5,nan,nan,1,0.9999976754188538,nan,nan,1,0.992765,nan,nan,1,0.0015,nan,nan,1,0.0019,nan,nan,1,0.4989525682955777,nan,nan,1,441.49658203125,nan,nan,1,1194.4398566167247,nan,nan,1,4014.113597135663,nan,nan,1,224.47814137190952,nan,nan,1,3.979591836734695,nan,nan,1,0.7756218615919351,nan,nan,1,0.22437813840806486,nan,nan,1,0.009,nan,nan,1,0.0,nan,nan,1,5.204081632653061,nan,nan,1,1.5306122448979593,nan,nan,1,0.24169327318668365,nan,nan,1,0.7583067268133163,nan,nan,1
dmsr_normal_s1.5,1,0.5,nan,nan,1,0.9987913966178894,nan,nan,1,0.742025,nan,nan,1,0.056,nan,nan,1,0.8229,nan,nan,1,0.37867685827499664,nan,nan,1,473.0793762207031,nan,nan,1,291.0096618017915,nan,nan,1,155.4659524203522,nan,nan,1,15.0037121374729,nan,nan,1,3.979591836734695,nan,nan,1,0.39266449816059323,nan,nan,1,0.6073355018394068,nan,nan,1,0.9975,nan,nan,1,0.0195,nan,nan,1,5.204081632653061,nan,nan,1,1.5306122448979593,nan,nan,1,0.20003550350666047,nan,nan,1,0.7999644964933396,nan,nan,1
dmsr_normal_s4.0,1,0.0932999849319458,nan,nan,1,0.8324680924415588,nan,nan,1,0.35081,nan,nan,1,0.8355,nan,nan,1,0.9279999999999999,nan,nan,1,0.19342889127569518,nan,nan,1,54.822330474853516,nan,nan,1,14.338305234431296,nan,nan,1,1.3356432311549333,nan,nan,1,0.7167588032533277,nan,nan,1,3.979591836734695,nan,nan,1,0.24933618879731512,nan,nan,1,0.7506638112026849,nan,nan,1,0.952,nan,nan,1,0.9455,nan,nan,1,5.204081632653061,nan,nan,1,1.5306122448979593,nan,nan,1,0.15169473886489868,nan,nan,1,0.8483052611351013,nan,nan,1
dmsr_laplace_b0.5,1,0.5,nan,nan,1,0.999931275844574,nan,nan,1,0.953245,nan,nan,1,0.006,nan,nan,1,0.22400000000000003,nan,nan,1,0.4824520903607632,nan,nan,1,464.2569274902344,nan,nan,1,598.5873273560027,nan,nan,1,805.8571108248009,nan,nan,1,52.18194124869101,nan,nan,1,3.979591836734695,nan,nan,1,0.46341800410300493,nan,nan,1,0.5365819958969951,nan,nan,1,0.813,nan,nan,1,0.001,nan,nan,1,5.204081632653061,nan,nan,1,1.5306122448979593,nan,nan,1,0.22894122898578645,nan,nan,1,0.7710587710142136,nan,nan,1
dmsr_laplace_b1.5,1,0.14319998025894165,nan,nan,1,0.8199591040611267,nan,nan,1,0.682185,nan,nan,1,0.69,nan,nan,1,0.8063000000000001,nan,nan,1,0.3514324954029356,nan,nan,1,86.6653823852539,nan,nan,1,30.35368141902798,nan,nan,1,3.775593247037945,nan,nan,1,0.9932428804202643,nan,nan,1,3.979591836734695,nan,nan,1,0.2613377698027762,nan,nan,1,0.7386622301972239,nan,nan,1,0.9105,nan,nan,1,0.913,nan,nan,1,5.204081632653061,nan,nan,1,1.5306122448979593,nan,nan,1,0.19009590297937393,nan,nan,1,0.809904097020626,nan,nan,1
dmsr_laplace_b4.0,1,0.07859998941421509,nan,nan,1,0.8373124003410339,nan,nan,1,0.3607,nan,nan,1,0.853,nan,nan,1,0.9500000000000001,nan,nan,1,0.19557676594998066,nan,nan,1,53.60639572143555,nan,nan,1,11.809736628626169,nan,nan,1,0.8754196801773224,nan,nan,1,0.6189591952582828,nan,nan,1,3.979591836734695,nan,nan,1,0.24695995130678056,nan,nan,1,0.7530400486932194,nan,nan,1,0.96,nan,nan,1,0.93,nan,nan,1,5.204081632653061,nan,nan,1,1.5306122448979593,nan,nan,1,0.1579071894288063,nan,nan,1,0.8420928105711937,nan,nan,1
at0_normal_s0.5,1,0.49870002269744873,nan,nan,1,0.9963981509208679,nan,nan,1,0.00117,nan,nan,1,0.043,nan,nan,1,0.6549,nan,nan,1,0.02508332086925452,nan,nan,1,308.537353515625,nan,nan,1,330.7458564731407,nan,nan,1,210.3304408269092,nan,nan,1,17.51560980821438,nan,nan,1,3.979591836734695,nan,nan,1,0.43584360810928047,nan,nan,1,0.5641563918907195,nan,nan,1,0.981,nan,nan,1,0.0465,nan,nan,1,5.204081632653061,nan,nan,1,1.5306122448979593,nan,nan,1,0.49719218015670774,nan,nan,1,0.5028078198432923,nan,nan,1
