schedule,seed,lambda,mse
cosine_vp,20260526,-15.0,0.00011075010115746409
cosine_vp,20260526,-14.23076923076923,0.00010251998901367188
cosine_vp,20260526,-13.461538461538462,9.835583477979526e-05
cosine_vp,20260526,-12.692307692307692,9.688859427114949e-05
cosine_vp,20260526,-11.923076923076923,9.473217505728826e-05
cosine_vp,20260526,-11.153846153846153,9.664265962783247e-05
cosine_vp,20260526,-10.384615384615383,0.00010269135236740112
cosine_vp,20260526,-9.615384615384615,0.00011286894732620567
cosine_vp,20260526,-8.846153846153847,0.00012788617459591478
cosine_vp,20260526,-8.076923076923077,0.00016561581287533045
cosine_vp,20260526,-7.3076923076923075,0.0002492331841494888
cosine_vp,20260526,-6.538461538461538,0.0004098068457096815
cosine_vp,20260526,-5.769230769230768,0.0007531068986281753
cosine_vp,20260526,-5.0,0.001337075955234468
cosine_vp,20260526,-4.23076923076923,0.0023966056760400534
cosine_vp,20260526,-3.4615384615384617,0.004078838042914867
cosine_vp,20260526,-2.6923076923076916,0.0069623044691979885
cosine_vp,20260526,-1.9230769230769216,0.011386478319764137
cosine_vp,20260526,-1.1538461538461533,0.01853340119123459
cosine_vp,20260526,-0.38461538461538325,0.03037617728114128
cosine_vp,20260526,0.384615384615385,0.04893423616886139
cosine_vp,20260526,1.1538461538461533,0.07857973873615265
cosine_vp,20260526,1.9230769230769234,0.11731978505849838
cosine_vp,20260526,2.6923076923076934,0.1611173152923584
cosine_vp,20260526,3.4615384615384635,0.19984541833400726
cosine_vp,20260526,4.2307692307692335,0.2289450466632843
cosine_vp,20260526,5.0,0.26007649302482605
cosine_vp,20260526,5.76923076923077,0.2986975908279419
cosine_vp,20260526,6.53846153846154,0.3491062521934509
cosine_vp,20260526,7.30769230769231,0.4094340205192566
cosine_vp,20260526,8.076923076923077,0.4767455458641052
cosine_vp,20260526,8.846153846153847,0.5476182699203491
cosine_vp,20260526,9.615384615384617,0.619618833065033
cosine_vp,20260526,10.384615384615387,0.6923894882202148
cosine_vp,20260526,11.153846153846157,0.766469419002533
cosine_vp,20260526,11.923076923076923,0.8355985879898071
cosine_vp,20260526,12.692307692307693,0.893293023109436
cosine_vp,20260526,13.461538461538463,0.9383898973464966
cosine_vp,20260526,14.230769230769234,0.9673649668693542
cosine_vp,20260526,15.0,0.9830052256584167
linear_vp,20260526,-15.0,0.0005305816885083914
linear_vp,20260526,-14.23076923076923,0.00038113159826025367
linear_vp,20260526,-13.461538461538462,0.0002602075692266226
