schedule,n_seeds,balance_error_mean,balance_error_std,balance_error_sem,balance_error_n,classifier_confidence_mean,classifier_confidence_std,classifier_confidence_sem,classifier_confidence_n,coverage_m_mean,coverage_m_std,coverage_m_sem,coverage_m_n,coverage_phi_mean,coverage_phi_std,coverage_phi_sem,coverage_phi_n,density_phi_mean,density_phi_std,density_phi_sem,density_phi_n,expected_s_mean,expected_s_std,expected_s_sem,expected_s_n,fid_inception_mean,fid_inception_std,fid_inception_sem,fid_inception_n,fid_phi_mean,fid_phi_std,fid_phi_sem,fid_phi_n,kid_phi_mean,kid_phi_std,kid_phi_sem,kid_phi_n,kid_phi_std_mean,kid_phi_std_std,kid_phi_std_sem,kid_phi_std_n,lambda_r_star_mean,lambda_r_star_std,lambda_r_star_sem,lambda_r_star_n,mean_mse_mean,mean_mse_std,mean_mse_sem,mean_mse_n,mean_skill_mean,mean_skill_std,mean_skill_sem,mean_skill_n,precision_phi_mean,precision_phi_std,precision_phi_sem,precision_phi_n,recall_phi_mean,recall_phi_std,recall_phi_sem,recall_phi_n,transition_high_mean,transition_high_std,transition_high_sem,transition_high_n,transition_low_mean,transition_low_std,transition_low_sem,transition_low_n,transition_mse_mean,transition_mse_std,transition_mse_sem,transition_mse_n,transition_skill_mean,transition_skill_std,transition_skill_sem,transition_skill_n
cosine_vp,1,0.009799987077713013,nan,nan,1,0.9870952367782593,nan,nan,1,0.65866,nan,nan,1,0.8855,nan,nan,1,1.0992000000000002,nan,nan,1,0.3235813674126141,nan,nan,1,64.95929718017578,nan,nan,1,12.809380359036464,nan,nan,1,12.90078864863232,nan,nan,1,11.76538259576715,nan,nan,1,3.367346938775512,nan,nan,1,0.24180710109612846,nan,nan,1,0.7581928989038715,nan,nan,1,0.9665,nan,nan,1,0.838,nan,nan,1,4.591836734693878,nan,nan,1,-1.5306122448979593,nan,nan,1,0.10173784825019538,nan,nan,1,0.8982621517498046,nan,nan,1
linear_vp,1,0.012199997901916504,nan,nan,1,0.9904994964599609,nan,nan,1,0.38714,nan,nan,1,0.9105,nan,nan,1,1.1713,nan,nan,1,0.22462870283195077,nan,nan,1,68.21905517578125,nan,nan,1,13.74304508759382,nan,nan,1,17.857624897781523,nan,nan,1,16.602351194091113,nan,nan,1,3.367346938775512,nan,nan,1,0.241948674302148,nan,nan,1,0.758051325697852,nan,nan,1,0.98,nan,nan,1,0.8345,nan,nan,1,4.591836734693878,nan,nan,1,-1.5306122448979593,nan,nan,1,0.08848864329047501,nan,nan,1,0.911511356709525,nan,nan,1
uniform,1,0.0033999979496002197,nan,nan,1,0.9906932711601257,nan,nan,1,0.205105,nan,nan,1,0.9515,nan,nan,1,1.1106,nan,nan,1,0.12579531341421152,nan,nan,1,43.359188079833984,nan,nan,1,3.496092464984325,nan,nan,1,4.443755068445689,nan,nan,1,9.5494072040994,nan,nan,1,3.367346938775512,nan,nan,1,0.22899492285650921,nan,nan,1,0.7710050771434908,nan,nan,1,0.97,nan,nan,1,0.896,nan,nan,1,4.591836734693878,nan,nan,1,-1.5306122448979593,nan,nan,1,0.07472241937648505,nan,nan,1,0.925277580623515,nan,nan,1
dmsr_normal_s0.5,1,0.5,nan,nan,1,0.9999568462371826,nan,nan,1,0.992765,nan,nan,1,0.0135,nan,nan,1,0.23270000000000002,nan,nan,1,0.5405352389603638,nan,nan,1,412.98675537109375,nan,nan,1,587.6304634744142,nan,nan,1,107.41230011411724,nan,nan,1,25.517112797423078,nan,nan,1,3.367346938775512,nan,nan,1,0.6750132370740175,nan,nan,1,0.3249867629259825,nan,nan,1,0.5725,nan,nan,1,0.0,nan,nan,1,4.591836734693878,nan,nan,1,-1.5306122448979593,nan,nan,1,0.23228525556623936,nan,nan,1,0.7677147444337606,nan,nan,1
dmsr_normal_s1.5,1,0.5,nan,nan,1,0.998053789138794,nan,nan,1,0.793075,nan,nan,1,0.013,nan,nan,1,0.1607,nan,nan,1,0.39786310899944327,nan,nan,1,414.4736633300781,nan,nan,1,475.6995783709413,nan,nan,1,102.93761981386128,nan,nan,1,21.369882021487037,nan,nan,1,3.367346938775512,nan,nan,1,0.3457307344302535,nan,nan,1,0.6542692655697465,nan,nan,1,0.519,nan,nan,1,0.0,nan,nan,1,4.591836734693878,nan,nan,1,-1.5306122448979593,nan,nan,1,0.10498444316908717,nan,nan,1,0.8950155568309128,nan,nan,1
dmsr_normal_s4.0,1,0.02340000867843628,nan,nan,1,0.9698428511619568,nan,nan,1,0.511465,nan,nan,1,0.913,nan,nan,1,0.9084,nan,nan,1,0.2632928899846685,nan,nan,1,48.07769775390625,nan,nan,1,26.469071576389084,nan,nan,1,23.808128940774935,nan,nan,1,13.710303958074094,nan,nan,1,3.367346938775512,nan,nan,1,0.2414899392024381,nan,nan,1,0.7585100607975619,nan,nan,1,0.946,nan,nan,1,0.9215,nan,nan,1,4.591836734693878,nan,nan,1,-1.5306122448979593,nan,nan,1,0.08095687674358487,nan,nan,1,0.9190431232564151,nan,nan,1
dmsr_laplace_b0.5,1,0.5,nan,nan,1,0.999718189239502,nan,nan,1,0.95693,nan,nan,1,0.0085,nan,nan,1,0.1767,nan,nan,1,0.5203056746130622,nan,nan,1,421.1585998535156,nan,nan,1,529.154637658396,nan,nan,1,97.73279780486136,nan,nan,1,21.898550640190667,nan,nan,1,3.367346938775512,nan,nan,1,0.4237810757011175,nan,nan,1,0.5762189242988824,nan,nan,1,0.6895,nan,nan,1,0.0,nan,nan,1,4.591836734693878,nan,nan,1,-1.5306122448979593,nan,nan,1,0.12075501820072532,nan,nan,1,0.8792449817992747,nan,nan,1
dmsr_laplace_b1.5,1,0.10350000858306885,nan,nan,1,0.9542539119720459,nan,nan,1,0.76035,nan,nan,1,0.7475,nan,nan,1,0.8252000000000002,nan,nan,1,0.3879774347622467,nan,nan,1,72.51026153564453,nan,nan,1,61.65050932186358,nan,nan,1,47.312476563147335,nan,nan,1,16.446918766510365,nan,nan,1,3.367346938775512,nan,nan,1,0.25613867736828977,nan,nan,1,0.7438613226317102,nan,nan,1,0.935,nan,nan,1,0.9155,nan,nan,1,4.591836734693878,nan,nan,1,-1.5306122448979593,nan,nan,1,0.10254375520162284,nan,nan,1,0.8974562447983772,nan,nan,1
dmsr_laplace_b4.0,1,0.00959998369216919,nan,nan,1,0.982190728187561,nan,nan,1,0.48455,nan,nan,1,0.928,nan,nan,1,1.0348000000000002,nan,nan,1,0.25349043980332214,nan,nan,1,47.874961853027344,nan,nan,1,10.009342326079011,nan,nan,1,10.846905275287051,nan,nan,1,10.540778967217372,nan,nan,1,3.367346938775512,nan,nan,1,0.2351475842682703,nan,nan,1,0.7648524157317297,nan,nan,1,0.964,nan,nan,1,0.8885,nan,nan,1,4.591836734693878,nan,nan,1,-1.5306122448979593,nan,nan,1,0.08407805557362735,nan,nan,1,0.9159219444263726,nan,nan,1
at0_normal_s0.5,1,0.4657999984920025,nan,nan,1,0.9712798595428467,nan,nan,1,0.999015,nan,nan,1,0.23,nan,nan,1,1.0902,nan,nan,1,0.37588817039885775,nan,nan,1,270.6676330566406,nan,nan,1,349.37737798357193,nan,nan,1,94.38163848072399,nan,nan,1,21.105272015825644,nan,nan,1,3.367346938775512,nan,nan,1,0.4274113592167851,nan,nan,1,0.5725886407832149,nan,nan,1,0.9965,nan,nan,1,0.3485,nan,nan,1,4.591836734693878,nan,nan,1,-1.5306122448979593,nan,nan,1,0.20909555535763502,nan,nan,1,0.790904444642365,nan,nan,1
at0_normal_s1.5,1,0.018999993801116943,nan,nan,1,0.9856573343276978,nan,nan,1,0.84474,nan,nan,1,0.738,nan,nan,1,1.1111000000000002,nan,nan,1,0.3700661562552626,nan,nan,1,106.78048706054688,nan,nan,1,28.6531457448476,nan,nan,1,23.932086932434697,nan,nan,1,13.296872610957191,nan,nan,1,3.367346938775512,nan,nan,1,0.3482062505485374,nan,nan,1,0.6517937494514626,nan,nan,1,0.9725,nan,nan,1,0.7125,nan,nan,1,4.591836734693878,nan,nan,1,-1.5306122448979593,nan,nan,1,0.1294445253442973,nan,nan,1,0.8705554746557027,nan,nan,1
