schedule,seed,coverage_m,expected_s_norm,mean_mse,mean_bayes_mse,mean_excess_mse,transition_mse,transition_bayes_mse,transition_excess_mse,low_noise_mse,high_noise_mse,mean_mode_error,transition_mode_error
cosine_vp,20260526,0.587315,0.5744072471346594,0.5047156225598883,0.5004845099239901,0.0041474100964478565,0.550639839635955,0.5482571406496896,0.0021526563998324694,0.9693229506755697,0.07137476126522277,0.1943023681640625,0.050713433159722224
uniform_lambda,20260526,0.223685,0.2593843222774145,0.502846530629904,0.5004845099239901,0.0024129468851242565,0.5526058872540792,0.5482571406496896,0.003886384190991521,0.9707750390315878,0.0644951620576621,0.1924896240234375,0.050821940104166664
hang_laplace_lambda_b0.5,20260526,0.983615,0.8863998641278142,0.5447349915280938,0.5004845099239901,0.04526965801269398,0.5543608466784159,0.5482571406496896,0.005681174047317149,1.0285830518295025,0.11428471451455896,0.2046112060546875,0.050984700520833336
dmsr_normal_wide_s1.5,20260526,0.8565,0.7747574277674296,0.5241497721057385,0.5004845099239901,0.024060393088439012,0.5515791591670778,0.5482571406496896,0.0033317132943516802,0.9829611839919254,0.10599038083896492,0.200433349609375,0.050821940104166664
dmsr_normal_mid_s0.8,20260526,0.9924,0.9117658175477437,1.13481163084507,0.5004845099239901,0.6352735768225102,0.5516651256216897,0.5482571406496896,0.003549124984096529,1.0067918053988754,1.5653938136317513,0.203082275390625,0.051106770833333336
dmsr_normal_narrow_s0.3,20260526,1.0,0.9855050446007402,0.7550589893013239,0.5004845099239901,0.25532103381556226,0.6002089977264404,0.5482571406496896,0.05137052533811786,1.2017533059777885,0.44697307005073084,0.1914306640625,0.05044216579861111
dmsr_laplace_b0.5,20260526,0.98707,0.9349747621082808,0.5247232473571785,0.5004845099239901,0.025031262343691196,0.5542233751879798,0.5482571406496896,0.0054024232021119035,1.0021264429750114,0.08909612693682764,0.199609375,0.05116102430555555
cosine_vp,20260527,0.58816,0.573767221460464,0.5046183476573788,0.5017446581277909,0.002800066502095433,0.5454955200354258,0.5428338216410743,0.002886800577269039,0.9757147513586899,0.06832789886517054,0.1907470703125,0.0489501953125
uniform_lambda,20260527,0.22369,0.25993216907849964,0.5028156971435237,0.5017446581277909,0.0011040539934583649,0.5454721616374122,0.5428338216410743,0.0028404543085748125,0.9743794161697914,0.06514405433589479,0.193878173828125,0.048895941840277776
hang_laplace_lambda_b0.5,20260527,0.983275,0.8862498847265419,0.5528413804713637,0.5017446581277909,0.051046704244799915,0.5506750759151247,0.5428338216410743,0.007957562454976141,1.0219043102757683,0.14181618403756258,0.201910400390625,0.0491943359375
dmsr_normal_wide_s1.5,20260527,0.856935,0.7741890236452098,0.5573180803097785,0.5017446581277909,0.05521087800880196,0.5465341177251604,0.5428338216410743,0.003189986494059364,0.9817440818096029,0.19021981615911832,0.201947021484375,0.04918077256944445
dmsr_normal_mid_s0.8,20260527,0.992505,0.9115485526019667,0.873898156080395,0.5017446581277909,0.37209441109444014,0.5482598460382886,0.5428338216410743,0.00520407496434119,1.0086783520106612,0.9330758499828252,0.2010650634765625,0.04918077256944445
dmsr_normal_narrow_s0.3,20260527,1.0,0.9854682659659418,0.664955403842032,0.5017446581277909,0.16316736332082654,0.6106816116306517,0.5428338216410743,0.06923711676305781,1.151257009341799,0.2672033341545047,0.202374267578125,0.049126519097222224
dmsr_laplace_b0.5,20260527,0.986915,0.9346926893365539,0.653499209601432,0.5017446581277909,0.15170201517466922,0.5456925084193548,0.5428338216410743,0.0035786104595495593,1.0269649378184615,0.3841057096918424,0.20347900390625,0.049004448784722224
cosine_vp,20260528,0.589815,0.5754948494371742,0.5006181513876072,0.4979749468260707,0.0028624097034480656,0.5458596895138422,0.5413550701406267,0.004827981064510014,0.9659886483488411,0.0669789968982734,0.196185302734375,0.04979112413194445
uniform_lambda,20260528,0.222495,0.25927249587045137,0.49976900942565405,0.4979749468260707,0.002124941474176012,0.5445035580131743,0.5413550701406267,0.004172740943936838,0.9647670162135157,0.06673373453403739,0.198724365234375,0.05002170138888889
hang_laplace_lambda_b0.5,20260528,0.98357,0.8864971145810914,0.6752589428797364,0.4979749468260707,0.17701134828530485,0.5446678068902757,0.5413550701406267,0.0038896298113589487,1.0186716893623615,0.44470351257107477,0.19803466796875,0.050116644965277776
dmsr_normal_wide_s1.5,20260528,0.855665,0.7734842675737693,0.5147003491176292,0.4979749468260707,0.016607256208590115,0.5439402510722479,0.5413550701406267,0.003120407099939055,0.9900078711838558,0.08105682259933515,0.2051361083984375,0.049763997395833336
dmsr_normal_mid_s0.8,20260528,0.99208,0.911133999316261,0.5437144705094397,0.4979749468260707,0.04526757162384456,0.5432539068990283,0.5413550701406267,0.0023162172098333635,1.004409763319739,0.13911224788788593,0.196502685546875,0.049845377604166664
dmsr_normal_narrow_s0.3,20260528,1.0,0.9853892886870065,0.6068855801830069,0.4979749468260707,0.1070940154379059,0.5838017596138848,0.5413550701406267,0.042971692090052076,1.164675036381031,0.12929814201638554,0.194036865234375,0.049994574652777776
dmsr_laplace_b0.5,20260528,0.98646,0.9349406934781518,0.8425558613613248,0.4979749468260707,0.34416233202791774,0.5443594008684158,0.5413550701406267,0.0032555448253535563,1.0026674784463028,0.8645043278282339,0.200921630859375,0.049981011284722224
