t,lambda_t,R_t
0.00025,15.684933766816762,5.999999537362299
0.00075,13.487708367013214,5.9999958362611245
0.00125,12.466055474545154,5.999988434061057
0.00175,11.793108533895056,5.999977330766665
0.00225,11.290476387449722,5.999962526384797
0.00275,10.889130884160362,5.999944020924584
0.00325,10.555017779980334,5.9999218143974415
0.00375,10.26881033534813,5.999895906817066
0.00425,10.018477469582153,5.999866298199443
0.00475,9.79601879698527,5.999832988562832
0.00525,9.595843654963616,5.999795977927782
0.00575,9.413891051099007,5.9997552663171225
0.00625,9.247117963206662,5.9997108537559685
0.00675,9.09318518834202,5.999662740271713
0.00725,8.950255745188736,5.999610925894037
0.00775,8.816860658385897,5.9995554106548985
0.00825,8.69180678397992,5.9994961945885485
0.00875,8.574111800830197,5.99943327773151
0.00925,8.46295729273202,5.999366660122594
0.00975,8.357654197262338,5.999296341802893
0.01025,8.2576169048769,5.9992223228157835
0.01075,8.162343532896577,5.999144603206924
0.01125,8.071400687945705,5.999063183024257
0.01175,7.984411544442062,5.998978062318006
0.01225,7.901046409157266,5.9988892411406765
0.01275,7.8210151745526035,5.998796719547058
0.01325,7.744061224590608,5.998700497594223
0.01375,7.6699564699574125,5.998600575341528
0.01425,7.598497270476283,5.998496952850607
0.01475,7.529501061012698,5.998389630185382
0.01525,7.462803540070766,5.998278607412053
0.01575,7.398256312099423,5.998163884599105
0.01625,7.335724898384088,5.998045461817305
0.01675,7.275087049468581,5.997923339139703
0.01725,7.2162313058665,5.997797516641629
0.01775,7.1590557644759,5.997667994400698
0.01825,7.103467016396495,5.997534772496804
0.01875,7.049379228341441,5.997397851012128
0.01925,6.996713344960893,5.997257230031126
0.01975,6.9453963934677825,5.997112909640542
0.02025,6.895360875214405,5.996964889929402
0.02075,6.846544231490534,5.996813170989009
0.02125,6.798888372936208,5.996657752912953
0.02175,6.752339263689692,5.996498635797102
0.02225,6.706846552804327,5.99633581973961
0.02275,6.66236324662977,5.9961693048409055
0.02325,6.618845416812903,5.995999091203707
0.02375,6.576251939369892,5.995825178933011
0.02425,6.534544260944489,5.995647568136093
0.02475,6.493686188922754,5.995466258922515
0.02525,6.453643702540741,5.995281251404115
0.02575,6.414384782514779,5.995092545695016
0.02625,6.375879257056647,5.994900141911621
0.02675,6.338098662418336,5.994704040172614
0.02725,6.301016116351653,5.994504240598963
0.02775,6.264606203073499,5.994300743313911
0.02825,6.228844868503811,5.994093548442987
0.02875,6.193709324694647,5.993882656114
0.02925,6.159177962499423,5.993668066457034
0.02975,6.125230271644162,5.993449779604466
0.03025,6.091846767460456,5.993227795690944
0.03075,6.059008923624754,5.993002114853394
0.03125,6.026699110322636,5.992772737231035
0.03175,5.994900537321337,5.992539662965352
0.03225,5.963597201490283,5.99230289220012
0.03275,5.9327738383590205,5.992062425081391
0.03325,5.902415877345426,5.991818261757497
