t,lambda_t,R_t
0.00025,3.800451229771096,5.934022399605483
0.00075,3.2511450854370043,5.887080139102207
0.00125,2.9957322735540015,5.8554004376912
0.00175,2.827496155243392,5.830023446344912
0.00225,2.7018389411029373,5.808344210305939
0.00275,2.6015035933718607,5.7891707769951175
0.00325,2.5179765510402765,5.7718393125098215
0.00375,2.4464261292199394,5.755935151422519
0.00425,2.383844557742936,5.741178766702889
0.00475,2.3282317401878236,5.727371163993579
0.00525,2.278190010909332,5.714364737215225
0.00575,2.2327041218064685,5.702046424601495
0.00625,2.1910133173369424,5.690327359540447
0.00675,2.1525327967688783,5.6791361951495105
0.00725,2.1168033147778056,5.668414624458859
0.00775,2.0834576275284693,5.658114273346097
0.00825,2.052197449037802,5.648194484713096
0.00875,2.0227771990263355,5.638620700098236
0.00925,1.99499227344893,5.6293632529422375
0.00975,1.9686704067062188,5.620396452363218
0.01025,1.9436651964188882,5.611697876297764
0.01075,1.9198511719242608,5.603247818359315
0.01125,1.8971199848858822,5.595028849441883
0.01175,1.8753774289160126,5.587025466260467
0.01225,1.8545410807157285,5.579223806648652
0.01275,1.834538413408879,5.571611416745441
0.01325,1.8153052729949808,5.564177058964519
0.01375,1.7967846371548062,5.556910552343433
0.01425,1.7789255958537666,5.5498026388421735
0.01475,1.761682507818182,5.542844870617217
0.01525,1.745014297684386,5.536029514385767
0.01575,1.7288838665752753,5.529349469817643
0.01625,1.713257594823223,5.522798199520342
0.01675,1.6981049200755585,5.516369668666713
0.01725,1.683397977472412,5.510058292691014
0.01775,1.6691112912503838,5.503858891774011
0.01825,1.6552215091968459,5.497766651070774
0.01875,1.6417071730028863,5.491777085820161
0.01925,1.6285485188441995,5.485886010623475
0.01975,1.6157273035375308,5.480089512299459
0.02025,1.603226652434822,5.474383925819903
0.02075,1.5910309258727424,5.468765812909315
0.02125,1.5791256015258832,5.463231942957067
0.02175,1.5674971704437495,5.4577792759439285
0.02225,1.5561330449049715,5.452404947129335
0.02275,1.5450214765126162,5.447106253282512
0.02325,1.5341514831944134,5.441880640271573
0.02375,1.523512783970771,5.43672569185048
0.02425,1.51309574051935,5.431639119505649
0.02475,1.5028913047037464,5.426618753242416
0.02525,1.4928909713504115,5.421662533207248
0.02575,1.4830867356562234,5.4167685020549525
0.02625,1.4734710546922796,5.411934797981557
0.02675,1.4640368125400882,5.407159648353289
0.02725,1.4547772886564694,5.402441363870555
0.02775,1.4456861291148742,5.397778333213061
0.02825,1.436757320414871,5.393169018118497
0.02875,1.4279851655894162,5.388611948852681
0.02925,1.4193642623721632,5.3841057200338165
0.02975,1.4108894832152765,5.379648986777617
0.03025,1.4025559569726707,5.375240461133703
0.03075,1.3943590520848324,5.370878908786862
0.03125,1.3862943611198906,5.366563145999495
0.03175,1.3783576865417455,5.362292036774091
0.03225,1.3705450275902051,5.358064490216686
0.03275,1.3628525681704653,5.353879458084191
0.03325,1.3552766656601642,5.349735932500199
0.03375,1.3478138405518265,5.345632943825317
0.03425,1.3404607668569788,5.341569558669477
0.03475,1.3332142632056954,5.337544878034831
0.03525,1.3260712845819569,5.3335580355789105
0.03575,1.3190289146410874,5.329608195988662
0.03625,1.312084358560754,5.325694553456863
0.03675,1.3052349363816729,5.321816330253146
0.03725,1.2984780767983115,5.317972775382545
0.03775,1.291811311363579,5.314163163325135
0.03825,1.2852322690748235,5.310386792850832
0.03875,1.2787386713114177,5.306642985903975
0.03925,1.272328327096887,5.30293108655273
0.03975,1.2659991286609253,5.2992504599987775
0.04025,1.2597490472788095,5.295600491643117
0.04075,1.25357612936766,5.291980586204141
0.04125,1.2474784928207507,5.2883901668844935
0.04175,1.2414543235626636,5.284828674583401
0.04225,1.2355018723095044,5.28129556715153
0.04275,1.2296194515197112,5.277790318685584
0.04325,1.2238054325221517,5.274312418860081
0.04375,1.218058242809284,5.270861372293951
0.04425,1.2123763634841265,5.267436697949774
0.04475,1.2067583268506636,5.264037928563607
0.04525,1.201202714138128,5.260664610103544
0.04575,1.1957081533503306,5.257316301255246
0.04625,1.1902733172318787,5.253992572932823
0.04675,1.1848969213437477,5.250693007813579
